BI00B1200    2399T52919     202210207289-6868-30             SEALED ASSY FEMALE       CCN000194040000194040FN00000000020221101000194040NNM   20220825122421    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    2399T52917     202210067289-7212-30             HOUSING FEMALE ASS'Y     CCN000004320000004320FN00000000020221101000004320NNM   20220825122421    4N0N  0000002400000138840000159341200    YCYC    005500360039
BI00B1200    2399T52918     202210067289-7212-30             HOUSING FEMALE ASS'Y     CCN000004320000004320FN00000000020221101000004320NNM   20220825122421    4N0N  0000002400000138840000159341200    YCYC    005500360039
BI00B1200    2399T52919     202210207289-7212-30             HOUSING FEMALE ASS'Y     CCN000004320000004320FN00000000020221101000004320NNM   20220825122421    4N0N  0000002400000138840000159341200    YCYC    005500360039
BI00B1200    2399T52917     202210067289-9553-50             SEALED ASSY FEMALE       CCN000038220000038220FN00000000020221101000038220NNM   20220825122421    4N0N  0000029400000110810000152061200    YCYC    005500360039
BI00B1200    2399T52918     202210067289-9553-50             SEALED ASSY FEMALE       CCN000038220000038220FN00000000020221101000038220NNM   20220825122421    4N0N  0000029400000110810000152061200    YCYC    005500360039
BI00B1200    2399T52919     202210207289-9553-50             SEALED ASSY FEMALE       CCN000038220000038220FN00000000020221101000038220NNM   20220825122421    4N0N  0000029400000110810000152061200    YCYC    005500360039
BI00B1200    2399T52917     202210067289-9612-30             HOUSING FEMALE ASS'Y     CCN000001680000001680FN00000000020221101000001680NNM   20220825122421    4N0N  0000002400000134880000166881200    YCYC    005500360039
BI00B1200    2399T52918     202210067289-9612-30             HOUSING FEMALE ASS'Y     CCN000001680000001680FN00000000020221101000001680NNM   20220825122421    4N0N  0000002400000134880000166881200    YCYC    005500360039
BI00B1200    2399T52919     202210207289-9612-30             HOUSING FEMALE ASS'Y     CCN000001440000001440FN00000000020221101000001440NNM   20220825122421    4N0N  0000002400000134880000166881200    YCYC    005500360039
